city,strain_year,year,subtype,reference_strain,epi_alarm,start,epi_counts,incidence_per_mil,epi_fractional_counts,new_ag_marker,first_detection_of_new_ag,first_n_biggest,relative_to_first_n_biggest,delay,prior_everything_scaled,mean_epi_size,type,earliest_A,largest_A,poor_timeseries,earliest_geog_start,firstNbiggest_earliest_geog,largest_geog_start,firstNbiggest_largest_geog,poor_timeseries_geog_start,firstNbiggest_poor_geog
ADELAIDE,2012_A/California/7/2009-like,2012,H1pdm09,A/California/7/2009-like,N,NA,NA,NA,NA,0,0,N,NA,NA,NA,56.31193204,A,N,N,N,NA,N,NA,N,NA,N
ADELAIDE,2013_A/California/7/2009-like,2013,H1pdm09,A/California/7/2009-like,Y,12,47,36.4380348,0.540229885,0,0,Y,1,0,0,56.31193204,A,Y,Y,Y,10,Y,10,Y,10,Y
ADELAIDE,2013_B/Massachusetts/2/2012-like,2013,B/Yam,B/Massachusetts/2/2012-like,Y,16,40,31.01109344,0.459770115,1,1,N,0.85106383,4,0.110140399,56.31193204,B,N,N,N,16,N,16,N,16,N
ADELAIDE,2013_A/Victoria/361/2011-like,2013,H3,A/Victoria/361/2011-like,N,NA,NA,NA,NA,0,0,N,NA,NA,NA,56.31193204,A,N,N,N,NA,N,NA,N,NA,N
ADELAIDE,2013_B/Brisbane/60/2008-like,2013,B/Vic,B/Brisbane/60/2008-like,N,NA,NA,NA,NA,0,0,N,NA,NA,NA,56.31193204,B,N,N,N,NA,N,NA,N,NA,N
ADELAIDE,2014_A/California/7/2009-like,2014,H1pdm09,A/California/7/2009-like,Y,11,81,62.17960233,0.743119266,0,0,Y,1,0,0,56.31193204,A,Y,Y,N,15,Y,15,N,11,Y
ADELAIDE,2014_A/Victoria/361/2011-like,2014,H3,A/Victoria/361/2011-like,Y,11,28,21.49418352,0.256880734,0,0,N,0.345679012,0,0,56.31193204,A,Y,N,N,15,N,11,Y,11,N
ADELAIDE,2014_B/Massachusetts/2/2012-like,2014,B/Yam,B/Massachusetts/2/2012-like,N,NA,NA,NA,NA,0,0,N,NA,NA,NA,56.31193204,B,N,N,N,NA,N,NA,N,NA,N
ADELAIDE,2014_B/Brisbane/60/2008-like,2014,B/Vic,B/Brisbane/60/2008-like,N,NA,NA,NA,NA,0,0,N,NA,NA,NA,56.31193204,B,N,N,N,NA,N,NA,N,NA,N
ADELAIDE,2015_A/Switzerland/9715293/2013-like,2015,H3,A/Switzerland/9715293/2013-like,Y,14,59,44.88818657,0.421428571,1,1,N,1.903225806,4,0.445854917,56.31193204,A,Y,Y,N,13,N,13,N,14,N
ADELAIDE,2015_B/Brisbane/60/2008-like,2015,B/Vic,B/Brisbane/60/2008-like,Y,12,50,38.04083608,0.357142857,0,0,N,1.612903226,2,0.175639816,56.31193204,B,N,N,N,12,N,12,N,12,N
ADELAIDE,2015_B/Phuket/3073/2013-like,2015,B/Yam,B/Phuket/3073/2013-like,Y,10,31,23.58531837,0.221428571,1,1,Y,1,0,0,56.31193204,B,N,N,N,10,Y,10,Y,10,Y
ADELAIDE,2015_B/Massachusetts/2/2012-like,2015,B/Yam,B/Massachusetts/2/2012-like,N,NA,NA,NA,NA,0,0,N,NA,NA,NA,56.31193204,B,N,N,N,NA,N,NA,N,NA,N
ADELAIDE,2015_A/California/7/2009-like,2015,H1pdm09,A/California/7/2009-like,N,NA,NA,NA,NA,0,0,N,NA,NA,NA,56.31193204,A,N,N,N,NA,N,NA,N,NA,N
