"city","strain_year","year","subtype","reference_strain","epi_alarm","start","epi_counts","incidence_per_mil","epi_fractional_counts","new_ag_marker","first_detection_of_new_ag","first_n_biggest","relative_to_first_n_biggest","delay","prior_everything_scaled","mean_epi_size"
"ADELAIDE","2015_A/Switzerland/9715293/2013-like",2015,"H3","A/Switzerland/9715293/2013-like","Y",14,59,44.8881865705197,0.421428571428571,1,1,"N",1.90322580645161,4,0.58729646286025,56.1896794666249
"ADELAIDE","2015_B/Brisbane/60/2008-like",2015,"B/Vic","B/Brisbane/60/2008-like","Y",12,50,38.0408360767116,0.357142857142857,0,0,"N",1.61290322580645,2,0.231359212641917,56.1896794666249
"ADELAIDE","2015_B/Phuket/3073/2013-like",2015,"B/Yam","B/Phuket/3073/2013-like","Y",10,31,23.5853183675612,0.221428571428571,1,1,"Y",1,0,0,56.1896794666249
"ADELAIDE","2015_B/Massachusetts/2/2012-like",2015,"B/Yam","B/Massachusetts/2/2012-like","N",NA,NA,NA,NA,0,0,"N",NA,NA,NA,56.1896794666249
"ADELAIDE","2015_A/California/7/2009-like",2015,"H1pdm09","A/California/7/2009-like","N",NA,NA,NA,NA,0,0,"N",NA,NA,NA,56.1896794666249
"BRISBANE","2000_A/Moscow/10/99-like",2000,"H3","A/Moscow/10/99-like","Y",17,55,33.1193023509285,0.591397849462366,NA,NA,"Y",1,0,0,49.7304672938985
"BRISBANE","2000_B/Sichuan/379/99-like",2000,"B/Yam","B/Sichuan/379/99-like","Y",17,38,22.8824270788233,0.408602150537634,NA,NA,"N",0.690909090909091,0,0,49.7304672938985
"BRISBANE","2000_A/New Caledonia/20/99-like",2000,"H1sea","A/New Caledonia/20/99-like","N",NA,NA,NA,NA,0,1,"N",NA,NA,NA,49.7304672938985
"BRISBANE","2001_A/New Caledonia/20/99-like",2001,"H1sea","A/New Caledonia/20/99-like","Y",14,140,82.6662950619879,0.897435897435897,NA,NA,"Y",1,0,0,49.7304672938985
"BRISBANE","2001_A/Moscow/10/99-like",2001,"H3","A/Moscow/10/99-like","Y",15,16,9.4475765785129,0.102564102564103,0,0,"N",0.114285714285714,1,0.100541987077074,49.7304672938985
"BRISBANE","2001_B/Sichuan/379/99-like",2001,"B/Yam","B/Sichuan/379/99-like","N",NA,NA,NA,NA,0,0,"N",NA,NA,NA,49.7304672938985
"BRISBANE","2002_A/Moscow/10/99-like",2002,"H3","A/Moscow/10/99-like","Y",12,323,186.088850224401,0.821882951653944,0,0,"N",4.61428571428571,1,0.0603251922462445,49.7304672938985
"BRISBANE","2002_B/Hong Kong/330/2001-like",2002,"B/Vic","B/Hong Kong/330/2001-like","Y",11,70,40.3288529898083,0.178117048346056,1,1,"Y",1,0,0,49.7304672938985
"BRISBANE","2003_A/Fujian/411/2002-like",2003,"H3","A/Fujian/411/2002-like","Y",14,326,183.079212647067,1,1,1,"Y",1,0,0,49.7304672938985
"BRISBANE","2003_A/Moscow/10/99-like",2003,"H3","A/Moscow/10/99-like","N",NA,NA,NA,NA,0,0,"N",NA,NA,NA,49.7304672938985
"BRISBANE","2004_A/Fujian/411/2002-like",2004,"H3","A/Fujian/411/2002-like","Y",17,122,66.9044516686628,0.705202312138728,0,0,"Y",1,0,0,49.7304672938985
"BRISBANE","2004_A/California/7/2004-like",2004,"H3","A/California/7/2004-like","Y",19,37,20.2906943585289,0.213872832369942,1,1,"N",0.30327868852459,2,0.784227499201178,49.7304672938985
"BRISBANE","2004_B/Shanghai/361/2002-like",2004,"B/Yam","B/Shanghai/361/2002-like","Y",18,14,7.67756002755147,0.0809248554913295,1,1,"N",0.114754098360656,1,0.140758781907904,49.7304672938985
"BRISBANE","2004_B/Florida/4/2006-like",2004,"B/Yam","B/Florida/4/2006-like","N",NA,NA,NA,NA,0,1,"N",NA,NA,NA,49.7304672938985
"BRISBANE","2004_A/New Caledonia/20/99-like",2004,"H1sea","A/New Caledonia/20/99-like","N",NA,NA,NA,NA,0,0,"N",NA,NA,NA,49.7304672938985
"BRISBANE","2005_A/California/7/2004-like",2005,"H3","A/California/7/2004-like","Y",12,220,117.885982820797,0.625,0,0,"Y",1,0,0,49.7304672938985
"BRISBANE","2005_B/Shanghai/361/2002-like",2005,"B/Yam","B/Shanghai/361/2002-like","Y",12,40,21.4338150583268,0.113636363636364,0,0,"N",0.181818181818182,0,0,49.7304672938985
"BRISBANE","2005_A/New Caledonia/20/99-like",2005,"H1sea","A/New Caledonia/20/99-like","Y",15,36,19.2904335524941,0.102272727272727,0,0,"N",0.163636363636364,3,1.06574506301699,49.7304672938985
"BRISBANE","2005_B/Hong Kong/330/2001-like",2005,"B/Vic","B/Hong Kong/330/2001-like","Y",14,29,15.5395159172869,0.0823863636363636,0,0,"N",0.131818181818182,2,0.603251922462445,49.7304672938985
"BRISBANE","2005_B/Malaysia/2506/2004-like",2005,"B/Vic","B/Malaysia/2506/2004-like","Y",17,27,14.4678251643706,0.0767045454545455,1,1,"N",0.122727272727273,5,3.59940313735925,49.7304672938985
"BRISBANE","2005_B/Florida/4/2006-like",2005,"B/Yam","B/Florida/4/2006-like","N",NA,NA,NA,NA,0,0,"N",NA,NA,NA,49.7304672938985
"BRISBANE","2005_B/Wisconsin/1/2010-like",2005,"B/Yam","B/Wisconsin/1/2010-like","N",NA,NA,NA,NA,0,1,"N",NA,NA,NA,49.7304672938985
"BRISBANE","2005_A/Wisconsin/67/2005-like",2005,"H3","A/Wisconsin/67/2005-like","N",NA,NA,NA,NA,0,1,"N",NA,NA,NA,49.7304672938985
"BRISBANE","2006_A/Wisconsin/67/2005-like",2006,"H3","A/Wisconsin/67/2005-like","Y",12,274,143.585927531029,0.771830985915493,1,0,"Y",1,0,0,49.7304672938985
"BRISBANE","2006_B/Malaysia/2506/2004-like",2006,"B/Vic","B/Malaysia/2506/2004-like","Y",14,81,42.4469347810708,0.228169014084507,0,0,"N",0.295620437956204,2,0.140758781907904,49.7304672938985
"BRISBANE","2006_A/California/7/2004-like",2006,"H3","A/California/7/2004-like","N",NA,NA,NA,NA,0,0,"N",NA,NA,NA,49.7304672938985
"BRISBANE","2006_B/Shanghai/361/2002-like",2006,"B/Yam","B/Shanghai/361/2002-like","N",NA,NA,NA,NA,0,0,"N",NA,NA,NA,49.7304672938985
"BRISBANE","2006_A/Solomon Islands/3/2006-like",2006,"H1sea","A/Solomon Islands/3/2006-like","N",NA,NA,NA,NA,0,1,"N",NA,NA,NA,49.7304672938985
"BRISBANE","2007_A/Solomon Islands/3/2006-like",2007,"H1sea","A/Solomon Islands/3/2006-like","Y",12,153,78.1047798593808,0.482649842271293,1,0,"Y",1,0,0,49.7304672938985
"BRISBANE","2007_A/Wisconsin/67/2005-like",2007,"H3","A/Wisconsin/67/2005-like","Y",12,146,74.5313585586248,0.460567823343849,0,0,"N",0.954248366013072,0,0,49.7304672938985
"BRISBANE","2007_A/New Caledonia/20/99-like",2007,"H1sea","A/New Caledonia/20/99-like","Y",13,18,9.18879763051538,0.056782334384858,0,0,"N",0.117647058823529,1,0.160867179323319,49.7304672938985
"BRISBANE","2007_B/Malaysia/2506/2004-like",2007,"B/Vic","B/Malaysia/2506/2004-like","N",NA,NA,NA,NA,0,0,"N",NA,NA,NA,49.7304672938985
"BRISBANE","2007_B/Florida/4/2006-like",2007,"B/Yam","B/Florida/4/2006-like","N",NA,NA,NA,NA,0,0,"N",NA,NA,NA,49.7304672938985
"BRISBANE","2007_A/Brisbane/59/2007-like",2007,"H1sea","A/Brisbane/59/2007-like","N",NA,NA,NA,NA,0,1,"N",NA,NA,NA,49.7304672938985
"BRISBANE","2008_B/Florida/4/2006-like",2008,"B/Yam","B/Florida/4/2006-like","Y",13,93,46.2179778988612,0.462686567164179,1,0,"Y",1,0,0,49.7304672938985
"BRISBANE","2008_B/Brisbane/60/2008-like",2008,"B/Vic","B/Brisbane/60/2008-like","Y",15,53,26.339277727308,0.263681592039801,1,1,"N",0.56989247311828,2,0.361951153477467,49.7304672938985
"BRISBANE","2008_A/Wisconsin/67/2005-like",2008,"H3","A/Wisconsin/67/2005-like","Y",14,47,23.357472701575,0.233830845771144,0,0,"N",0.505376344086022,1,0.0402167948308297,49.7304672938985
"BRISBANE","2008_A/Brisbane/59/2007-like",2008,"H1sea","A/Brisbane/59/2007-like","Y",17,8,3.97574003431064,0.0398009950248756,1,0,"N",0.0860215053763441,4,2.27224890794188,49.7304672938985
"BRISBANE","2008_B/Malaysia/2506/2004-like",2008,"B/Vic","B/Malaysia/2506/2004-like","N",NA,NA,NA,NA,0,0,"N",NA,NA,NA,49.7304672938985
